[metrics-10k] t=5s inserts=53 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 5, 'otel_metrics_number_points': 4} db=12MB free=5.14GB mergeCPU=1.3s
[metrics-10k] t=10s inserts=107 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 4, 'otel_metrics_number_points': 7} db=20MB free=5.09GB mergeCPU=4.2s
[metrics-10k] t=15s inserts=162 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 4, 'otel_metrics_number_points': 4} db=29MB free=5.03GB mergeCPU=9.1s
[metrics-10k] t=20s inserts=214 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 3} db=37MB free=5.02GB mergeCPU=12.2s
[metrics-10k] t=25s inserts=267 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 6} db=44MB free=5.01GB mergeCPU=16.1s
[metrics-10k] t=30s inserts=319 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 5, 'otel_metrics_number_points': 9} db=48MB free=4.95GB mergeCPU=20.3s
[metrics-10k] t=35s inserts=373 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 3, 'otel_metrics_histogram_points': 4, 'otel_metrics_number_points': 11} db=45MB free=4.90GB mergeCPU=25.6s
[metrics-10k] t=40s inserts=425 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 3, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 10} db=55MB free=4.89GB mergeCPU=28.5s
[metrics-10k] t=45s inserts=478 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 14} db=64MB free=4.84GB mergeCPU=32.6s
[metrics-10k] t=50s inserts=532 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 6} db=68MB free=4.78GB mergeCPU=37.0s
[metrics-10k] t=55s inserts=584 err=0 parts={'otel_metrics_series': 1, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 8} db=67MB free=4.73GB mergeCPU=41.5s
[metrics-10k] t=60s inserts=637 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 7, 'otel_metrics_number_points': 6} db=74MB free=4.66GB mergeCPU=45.0s
[metrics-10k] t=66s inserts=689 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 11, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 5} db=81MB free=4.51GB mergeCPU=49.8s
[metrics-10k] t=71s inserts=744 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 15, 'otel_metrics_number_points': 9} db=86MB free=4.45GB mergeCPU=55.6s
[metrics-10k] t=76s inserts=796 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 3, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 6, 'otel_metrics_number_points': 6} db=73MB free=4.39GB mergeCPU=61.1s
[metrics-10k] t=81s inserts=849 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 5, 'otel_metrics_number_points': 8} db=76MB free=4.42GB mergeCPU=65.6s
[metrics-10k] t=86s inserts=901 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 3, 'otel_metrics_histogram_points': 4, 'otel_metrics_number_points': 5} db=82MB free=4.37GB mergeCPU=69.6s
[metrics-10k] t=91s inserts=955 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 8} db=90MB free=4.50GB mergeCPU=75.4s
[metrics-10k] t=96s inserts=1007 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 4} db=95MB free=4.45GB mergeCPU=79.1s
