insert	r1	PUT 0	GET 380	HEAD 10	LIST 0	DELETE 0	keeper 300	cpu_s 0.91	bucket objects/bytes 6007 145184759
insert	r2	PUT 240	GET 190	HEAD 0	LIST 0	DELETE 0	keeper 280	cpu_s 0.15	bucket objects/bytes 6007 145184759
move	r1	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 0	keeper 36	cpu_s 0.06	bucket objects/bytes 6007 145184759
move	r2	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 0	keeper 40	cpu_s 0.22	bucket objects/bytes 6007 145184759
merge	r1	PUT 137	GET 860	HEAD 0	LIST 0	DELETE 0	keeper 106	cpu_s 2.60	bucket objects/bytes 6074 162000846
merge	r2	PUT 0	GET 19	HEAD 1	LIST 0	DELETE 0	keeper 100	cpu_s 0.24	bucket objects/bytes 6074 162000846
clean	r1	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 0	keeper 77	cpu_s 0.07	bucket objects/bytes 5904 143002894
clean	r2	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 20	keeper 93	cpu_s 0.21	bucket objects/bytes 5904 143002894
drop	r1	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 3	keeper 80	cpu_s 0.07	bucket objects/bytes 5767 118139906
drop	r2	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 0	keeper 53	cpu_s 0.27	bucket objects/bytes 5767 118139906
insert	r1	PUT 240	GET 190	HEAD 0	LIST 0	DELETE 0	keeper 131	cpu_s 0.78	bucket objects/bytes 754 71953632
insert	r2	PUT 240	GET 190	HEAD 0	LIST 0	DELETE 0	keeper 173	cpu_s 0.11	bucket objects/bytes 754 71953632
move	r1	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 0	keeper 0	cpu_s 0.01	bucket objects/bytes 754 71953632
move	r2	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 0	keeper 0	cpu_s 0.06	bucket objects/bytes 754 71953632
merge	r1	PUT 137	GET 860	HEAD 0	LIST 0	DELETE 0	keeper 60	cpu_s 2.48	bucket objects/bytes 1028 122111098
merge	r2	PUT 137	GET 860	HEAD 0	LIST 0	DELETE 0	keeper 36	cpu_s 2.49	bucket objects/bytes 1028 122111098
clean	r1	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 20	keeper 43	cpu_s 0.19	bucket objects/bytes 548 68032776
clean	r2	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 20	keeper 43	cpu_s 0.29	bucket objects/bytes 548 68032776
drop	r1	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 3	keeper 42	cpu_s 0.03	bucket objects/bytes 274 17875310
drop	r2	PUT 0	GET 0	HEAD 0	LIST 0	DELETE 3	keeper 17	cpu_s 0.09	bucket objects/bytes 274 17875310
