event_time_microseconds	\'r1\'	table	event_type	merge_reason	disk_name	part_name	rows	size_in_bytes	duration_ms	cpu_us	put	get	copy	s3_written	error
2026-09-25 22:26:15.849868	r1	t_zc	NewPart	NotAMerge	default	20260925_0_0_0	30000	2698195	70	0	0	0	0	0	0
2026-09-25 22:26:16.000204	r1	t_own	NewPart	NotAMerge	default	20260925_0_0_0	30000	2698619	95	0	0	0	0	0	0
2026-09-25 22:26:16.146567	r1	t_zc	NewPart	NotAMerge	default	20260925_1_1_0	30000	2698400	82	0	0	0	0	0	0
2026-09-25 22:26:16.265463	r1	t_own	NewPart	NotAMerge	default	20260925_1_1_0	30000	2697695	72	0	0	0	0	0	0
2026-09-25 22:26:16.400909	r1	t_zc	NewPart	NotAMerge	default	20260925_2_2_0	30000	2698139	85	0	0	0	0	0	0
2026-09-25 22:26:16.541499	r1	t_own	NewPart	NotAMerge	default	20260925_2_2_0	30000	2699066	90	0	0	0	0	0	0
2026-09-25 22:26:16.735929	r1	t_zc	NewPart	NotAMerge	default	20260925_3_3_0	30000	2700591	104	0	0	0	0	0	0
2026-09-25 22:26:16.799217	r1	t_zc	MovePart	NotAMerge	s3_zc	20260925_2_2_0	30000	2698139	315	0	0	19	0	0	0
2026-09-25 22:26:16.812960	r1	t_own	MovePart	NotAMerge	s3_own	20260925_1_1_0	30000	2697695	247	0	0	19	0	0	0
2026-09-25 22:26:16.877131	r1	t_zc	MovePart	NotAMerge		20260925_0_0_0	0	0	77	0	0	0	0	0	0
2026-09-25 22:26:16.878072	r1	t_own	NewPart	NotAMerge	default	20260925_3_3_0	30000	2699766	107	0	0	0	0	0	0
2026-09-25 22:26:16.925585	r1	t_own	MovePart	NotAMerge	s3_own	20260925_0_0_0	30000	2698619	112	0	0	19	0	0	0
2026-09-25 22:26:17.240516	r1	t_zc	NewPart	NotAMerge	default	20260925_4_4_0	30000	2698479	130	0	0	0	0	0	0
2026-09-25 22:26:17.351299	r1	t_zc	MovePart	NotAMerge	s3_zc	20260925_1_1_0	30000	2698400	474	0	0	19	0	0	0
2026-09-25 22:26:17.414475	r1	t_own	MovePart	NotAMerge	s3_own	20260925_2_2_0	30000	2699066	488	0	0	19	0	0	0
2026-09-25 22:26:17.499604	r1	t_own	NewPart	NotAMerge	default	20260925_4_4_0	30000	2698791	166	0	0	0	0	0	0
2026-09-25 22:26:17.664217	r1	t_zc	MovePart	NotAMerge	s3_zc	20260925_0_0_0	30000	2698195	310	0	0	19	0	0	0
2026-09-25 22:26:17.682648	r1	t_zc	NewPart	NotAMerge	default	20260925_5_5_0	30000	2699744	67	0	0	0	0	0	0
2026-09-25 22:26:17.692151	r1	t_own	MovePart	NotAMerge	s3_own	20260925_3_3_0	30000	2699766	274	0	0	19	0	0	0
2026-09-25 22:26:17.870792	r1	t_own	NewPart	NotAMerge	default	20260925_5_5_0	30000	2699844	107	0	0	0	0	0	0
2026-09-25 22:26:18.102872	r1	t_own	MovePart	NotAMerge	s3_own	20260925_4_4_0	30000	2698791	402	0	0	19	0	0	0
2026-09-25 22:26:18.148926	r1	t_zc	MovePart	NotAMerge	s3_zc	20260925_4_4_0	30000	2698479	484	0	0	19	0	0	0
2026-09-25 22:26:18.148993	r1	t_zc	NewPart	NotAMerge	default	20260925_6_6_0	30000	2698393	206	0	0	0	0	0	0
2026-09-25 22:26:18.288609	r1	t_own	NewPart	NotAMerge	default	20260925_6_6_0	30000	2700795	99	0	0	0	0	0	0
2026-09-25 22:26:18.407951	r1	t_zc	MovePart	NotAMerge	s3_zc	20260925_3_3_0	30000	2700591	254	0	0	19	0	0	0
2026-09-25 22:26:18.454418	r1	t_zc	MovePart	NotAMerge	s3_zc	20260925_6_6_0	30000	2698393	269	0	0	19	0	0	0
2026-09-25 22:26:18.454738	r1	t_zc	NewPart	NotAMerge	default	20260925_7_7_0	30000	2699162	103	0	0	0	0	0	0
2026-09-25 22:26:18.589835	r1	t_own	NewPart	NotAMerge	default	20260925_7_7_0	30000	2699154	79	0	0	0	0	0	0
2026-09-25 22:26:18.676776	r1	t_zc	MovePart	NotAMerge	s3_zc	20260925_7_7_0	30000	2699162	215	0	0	19	0	0	0
2026-09-25 22:26:18.752615	r1	t_zc	NewPart	NotAMerge	default	20260925_8_8_0	30000	2697019	105	0	0	0	0	0	0
